type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
JapS-AQ4_bon_000000,-0.018483752,-0.0027740598,-0.020842282,0.027157787,0.012128368,0.0054841996,-0.030776855,-0.011086096,-0.031364284,0.015153462,0.009879184,0.01032378,-0.016509308,-0.011304638,-0.005771555,-0.023130737,0.01509855,0.020823823,-0.033372186,-0.0032758305,-0.008676901,-4.662515e-05,0.00032280217,0.011692476,0.0094834855,-0.023818618,-0.037784547,-0.031667262,0.013559097,-0.017053599,0.020965325,0.013537223
JapS-AQ4_bon_000001,-0.022027954,-0.0045058513,0.0013006278,0.005378345,-0.0039857766,-0.02325419,-0.0111290105,0.008625946,-0.006663052,-0.01657381,0.013762055,-0.029036047,0.007391354,-0.015051233,0.004752467,-0.004414089,0.021311391,-0.029544212,-0.008808291,0.0031024134,-0.018250067,-0.025603268,0.0043697,0.029425992,-0.008478509,0.011901697,-0.024883576,0.028166654,0.00843172,0.03633975,0.015391073,-0.01797889
JapS-AQ4_bon_000002,0.007005956,-0.013788924,0.01805294,0.00572351,-0.007121127,-0.018378496,-0.025084637,-0.0026658513,-0.027935509,-0.028823856,-0.024812218,0.0067783557,-0.020315439,-0.024338573,0.006659899,0.00641457,0.026088614,0.014587235,-0.029406574,-0.0010586902,0.024543837,0.008348361,0.008376136,-0.015261598,0.020209908,0.005152546,-0.023756701,0.021449912,-0.030529369,-0.025495607,-0.015231762,0.031055242
JapS-AQ4_bon_000003,0.008734952,0.0046122544,0.034457535,0.007566659,-0.015873004,-0.0060397033,-0.018801589,0.015232053,-0.023002682,-0.0008762561,-0.0017757032,0.019455725,0.019305425,0.009676512,0.0018066282,-0.012195876,-0.00022908047,-0.022229219,0.025095584,-0.021366987,-0.028608462,-0.00811881,0.023602108,0.028928438,0.02171469,0.021673568,-0.027196601,0.027004857,-0.030751131,0.010256624,-0.018709298,-0.007057936
JapS-AQ4_bon_000004,0.0065543773,-0.010941548,0.02022036,0.005030696,-0.00010758921,0.023423882,-0.014561195,-0.001536499,0.0016359033,0.01624074,-0.026015861,-0.019588513,0.022512205,0.00038198027,0.014894993,-0.026253454,-0.0003321456,-0.000399475,0.0055147773,0.034025878,0.0041926,-0.0204662,0.0043874485,0.03388036,0.017054435,-0.026310287,-0.020269766,0.017007641,0.0013171306,0.03784339,-0.016415976,-0.016393522
JapS-AQ4_bon_000005,0.026246492,0.017030045,0.02727672,-0.009858757,0.0072214045,-0.021417003,-0.018541656,-0.018483747,-0.02602334,-0.006909158,0.011079732,-0.0051016957,0.009352587,0.015877753,0.023294553,0.007942934,0.0247317,-0.012451015,-0.014931064,-0.0036662817,0.018384788,0.014831614,-0.025906984,-0.009179138,-0.025139995,0.027243193,-0.0062094443,-0.00028253347,0.026918009,0.0056722276,-0.023213789,0.021133363
JapS-AQ4_bon_000006,0.011542038,0.046356365,0.0023823911,0.013019338,0.014738886,-0.006196078,0.006501047,0.02396262,-0.02301452,-0.014514049,0.027809676,-0.019222826,0.02621185,-0.009349898,0.0361087,-0.013121459,0.023912765,0.004022355,-0.03189144,0.025232926,-0.016971856,-0.022176204,0.038657907,0.033796426,-0.021087402,-0.008645079,-0.01509966,-0.0023389,-0.034578156,-0.010856956,0.022170095,0.012192528
JapS-AQ4_bon_000007,-0.014538787,0.01028049,-0.0039041787,0.01093673,-0.019412749,0.008977778,-0.015383348,-0.020579226,0.026626848,-0.024522942,-0.009316295,0.013734642,-0.026245415,-0.014862377,0.0026615448,-0.018274631,0.027685437,0.028151631,0.02320483,0.008837018,-0.0156531,-0.0015411079,-0.0062437765,0.019254588,-0.021759007,-0.027158923,-0.030259594,-0.025044646,-0.020095196,-0.0072186776,-0.0073377676,0.019641135
JapS-AQ4_bon_000008,0.014110822,0.016227156,0.00821453,0.0063562803,0.014311295,0.027391326,0.016655244,0.006391607,-0.0064677224,0.016227856,0.022628866,0.028856758,0.020351857,0.01452639,-0.031032212,0.010819536,-0.0061466806,0.012050044,0.019914772,-0.007137608,-0.027304623,-0.0073029324,-0.015891902,-0.011598416,-0.017445847,0.016086068,0.002182614,0.0005970225,-0.014914073,0.030215308,0.0018534511,-0.007872984
JapS-AQ4_bon_000009,-0.030880563,0.02243772,-0.015658975,-0.014302125,-0.027589938,0.008377096,0.026173504,0.023164067,-0.011148922,0.003585544,0.031381104,-0.024796268,-0.013886373,0.022210233,0.009109792,0.026817502,0.0025733158,-0.024682947,-0.00019441993,0.033355996,0.011969583,-0.022100676,0.012424327,-0.026493546,0.01566354,0.026612548,0.0005518608,-0.014989679,0.018847827,0.0145252505,0.012752028,0.01642983
