type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62
JapS-AQ4_bon_000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JapS-AQ4_bon_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JapS-AQ4_bon_000002,0.28084984,0.29191205,0.293032,0.28839427,0.28309292,0.26914838,0.2660323,0.2717707,0.27582607,0.25953862,0.25837526,0.26509973,0.2678695,0.25254303,0.25159302,0.2578323,0.2605082,0.24748467,0.24522288,0.24983078,0.2529649,0.8545867,0.87782365,0.90474504,0.9267523,0.94382364,0.9068125,0.93796074,0.93913174,0.9290056,0.90493715,0.9377788,0.9378855,0.9265897,0.9026684,0.93400115,0.9342616,0.92379385,0.90060264,0.9252377,0.92813206,0.92121816,-1.4577168e-07,-0.004839805,-0.0075206533,-0.009908422,-0.011352161,-0.0035828326,-0.007652054,-0.0103254765,-0.011359906,-0.002626118,-0.0057341335,-0.007392234,-0.008141565,-0.0023110912,-0.004472642,-0.004432016,-0.0040610177,-0.0024491793,-0.003342767,-0.0024743755,-0.0013555519
JapS-AQ4_bon_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JapS-AQ4_bon_000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JapS-AQ4_bon_000005,0.28781733,0.2976279,0.3004527,0.2966415,0.28999004,0.2753996,0.27364117,0.27727264,0.28138214,0.26626253,0.2662936,0.27152914,0.27594942,0.26083317,0.26024854,0.26570854,0.26950502,0.25827986,0.25674313,0.26140842,0.26518625,0.5536986,0.53492856,0.5166998,0.51217806,0.5155322,0.496686,0.51121294,0.5256175,0.53248006,0.50717384,0.52439004,0.53904253,0.5444346,0.52153754,0.53795505,0.55013084,0.5535328,0.53681695,0.5517727,0.5588677,0.558844,-1.4015949e-07,-0.007576332,-0.011970857,-0.015748957,-0.019054867,-0.006665688,-0.013258273,-0.018335814,-0.0211251,-0.0058458564,-0.010782394,-0.013826138,-0.015376824,-0.005832532,-0.010689815,-0.011212094,-0.010740933,-0.0065245526,-0.009415505,-0.008279224,-0.006474152
JapS-AQ4_bon_000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JapS-AQ4_bon_000007,0.6165448,0.6037186,0.59242314,0.5829919,0.5746008,0.5966791,0.5858121,0.5817442,0.5804554,0.6016654,0.5857832,0.5886526,0.59368473,0.60600936,0.5906825,0.5953869,0.6009036,0.6097402,0.59668815,0.59926426,0.6039025,0.4761164,0.46022826,0.44380152,0.43656096,0.4327906,0.41795895,0.41715786,0.42644715,0.4359124,0.42087537,0.44810623,0.46151605,0.4654592,0.43164638,0.45991117,0.46841264,0.46748778,0.44509348,0.46759143,0.47486046,0.47376215,-1.2773452e-07,-0.0013630427,-0.0033487678,-0.005897558,-0.007947696,-0.002525327,-0.008446652,-0.0124282045,-0.014357295,-0.004438082,-0.009202242,-0.010701587,-0.0114209335,-0.006860907,-0.010665263,-0.009777234,-0.009026578,-0.009647629,-0.012575341,-0.011788701,-0.010551708
JapS-AQ4_bon_000008,0.61930615,0.6039595,0.59167284,0.5851144,0.5826277,0.5933298,0.58212966,0.57877296,0.5763696,0.5980715,0.5867291,0.59018314,0.59324145,0.60312426,0.59183925,0.5966388,0.6003069,0.60791206,0.5979392,0.60154057,0.60535187,0.45277658,0.43354526,0.4175379,0.41464502,0.41940916,0.39074394,0.39958918,0.39937055,0.3979097,0.39360914,0.4156667,0.41867077,0.41560936,0.40243322,0.4253574,0.42611098,0.419637,0.415249,0.43346465,0.43458626,0.42820615,-2.7303638e-08,0.0005713865,-0.0008093737,-0.0031102444,-0.00533744,0.001985089,-0.0013865362,-0.005594051,-0.008719081,-0.0009126818,-0.0028597293,-0.0048375707,-0.0065636775,-0.004196211,-0.0046681673,-0.0039118906,-0.0040945923,-0.007900596,-0.0076344167,-0.0061610295,-0.005342428
JapS-AQ4_bon_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
